fundacao,integrant,consorcio,gabi,aglomeracao,cenario,apurar,converso,inquerito,orientacao,previsao,pratico,ricardo,associacao,ricard,conformar,aprovacao,afp,companhia,impactar,flavio,iniciativo,enfrentamento,reducao,planalto,necessidad,europeu,gued,equipamento,integro,condicao,distrito,reforcar,destinar,distrit,suspeito,epidemiar,exministro,privar,levantamento,reforca,parceria,pagamento,avancar,ambientar,folhar,avanca,destac,regrar,epidemia,dosar,possibilidad,positivar,vigilancia,desenvolvimento,prazo,quedo,palacio,mudanca,imunizacao,taxar,palac,respostar,transmissao,proposto,oposto,sabado,pastar,anvisa,prever,investigacao,planar,internar,quarentenar,fase,comissao,necessario,congresso,reuniao,reunia,biliao,domingo,recurso,republico,crise,periodo,infectar,autoridad,curso,economia,situacao,instituto,regiao,institut,justicar,supremo,suprem,decisao,ministrar,saudar,parir,greve,invadir,versao,verificar,imagem,compartilhar,fotografia,verdadeiro,protestar,filmar,ganhar,menino,preencher,humanar,sacar,bandeiro,minutar,abusar,clicar,fraudar,basto,checar,enderecar,usuario,acidentar,lixar,incendio,sequer,enganoso,gravacao,pelar,soltar,supostament,disseminar,amigar,motorista,inscricao,instrucao,vazio,postagen,realment,amplament,chorar,assassinar,atirar,misturar,ampla,camisa,falsar,limao,cbn,casamentar,ilustrar,sortir,visualizacao,caixao,garganta,adelio,verificacao,captura,pego,camiseta,numericament,checagem,boatar,cristao,enganar,anoso,arquivar,replicar,circula,sobrar,idioma,dorio,vc,parabem,vazar,venezuelano,quinzen,cedula,vitaminar,espalh,postam,plam,lustrar,engano,atribui,chora,numerica,sobra,solta,desment,viralizado,viralizada,itamina,reverso,segundar,argan,legend,class_nominal
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 , , , , , , , , , , , , , , , , , ,2, , , , , , , ,1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , ,1, , ,1, ,1, , , , , , , , , , ,1,1, , , ,1, , ,1, , , , , , ,1, , , , , , , , , ,1, , , , , , , ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , , , , , , , , ,1, , , , , , , , ,1, ,1, , , ,1, , , , , , ,3, , , , , , ,1, ,2, , ,1, , ,1,1, , , , , ,2, ,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , ,1, , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
