"id_notice","real_words_strongs_in_notice","real_words_strongs_in_notice_number_appear","fake_words_strongs_in_notice","fake_words_strongs_in_notice_number_appear","notice_strong_words_real_total","notice_strong_words_fake_total","notice_strong_words_total","classe_notice"
1,"['funcao', 'ministrar']","[1, 1]","['equador']","[1]",2,1,3,1
2,"['companhia', 'companhia', 'destinar', 'europeu', 'quilometro']","[2, 2, 1, 1, 1]","['parir', 'parir']","[2, 2]",5,2,7,1
3,"['companhia', 'demandar', 'exportacao', 'interrupcao', 'periodo', 'reabertura', 'reuter']","[1, 1, 1, 1, 1, 1, 1]","[]","[]",7,0,7,1
6,"['afetado', 'afetado', 'diariament', 'pagamento', 'pagamento', 'sindicato']","[2, 2, 1, 2, 2, 1]","['greve', 'greve']","[2, 2]",6,2,8,1
8,"['lelo', 'mutacao']","[1, 1]","['espalhar', 'invadir']","[1, 1]",2,2,4,1
10,"['aplicacao', 'coordenar', 'distrito', 'domingo', 'dosar', 'esquema', 'estrategia', 'facilitar', 'fase', 'fundacao', 'igualitario', 'instituto', 'intervalar', 'operacionalizacao', 'oswaldo', 'pastar', 'planar', 'prazo', 'publicoalvo', 'remessar', 'sabado', 'saudar', 'saudar', 'saudar', 'vigilancia']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1]","[]","[]",25,0,25,1
12,"['anvisa', 'autonomia', 'autonomia', 'autoridad', 'calheiro', 'calheiro', 'colegiado', 'comissao', 'comissao', 'comissao', 'conflito', 'consistencia', 'crise', 'crise', 'decisao', 'decisao', 'depoimento', 'depoimento', 'depoimento', 'depoimento', 'destacar', 'escassez', 'etapa', 'exministro', 'exministro', 'exministro', 'exministro', 'exministro', 'exministro', 'exministro', 'exministro', 'inconsistencia', 'inquerito', 'instituto', 'justificativo', 'mdbal', 'plenario', 'preservar', 'proposto', 'reclamacao', 'recurso', 'respostar', 'saudar', 'saudar', 'saudar', 'saudar', 'saudar', 'sessao', 'situacao', 'tcu', 'tcu', 'vigilancia', 'wajngarten']","[1, 2, 2, 1, 2, 2, 1, 3, 3, 3, 1, 1, 2, 2, 2, 2, 4, 4, 4, 4, 1, 1, 1, 8, 8, 8, 8, 8, 8, 8, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 1, 2, 2, 1, 1]","['desmentir', 'desmentir', 'versao', 'versao']","[2, 2, 2, 2]",53,4,57,1
13,"['decisao', 'limitacao', 'negativar', 'presenca', 'reducao', 'regrar']","[1, 1, 1, 1, 1, 1]","['libertador', 'libertador', 'patrocinador']","[2, 2, 1]",6,3,9,1
14,"['companhia', 'desempenhar', 'destinar', 'guarulho', 'instituto', 'logistico', 'parceria', 'parceria', 'saudar', 'significativo', 'significativo', 'voo']","[1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1]","[]","[]",12,0,12,1
15,"['adesao', 'demrj', 'etapa', 'federar', 'liderar']","[1, 1, 1, 1, 1]","[]","[]",5,0,5,1
18,"['antonio', 'anvisa', 'anvisa', 'destacar', 'necessidad', 'passageiro', 'triagem', 'triagem', 'triagem', 'vigilancia']","[1, 2, 2, 1, 1, 1, 3, 3, 3, 1]","['verificar']","[1]",10,1,11,1
26,"['afp', 'aplicacao', 'atrasar', 'companhia', 'esforco', 'europeu', 'exportacao', 'saudar', 'temor']","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[]","[]",9,0,9,1
27,"['adicionar', 'distrito', 'dosar', 'enfermagem', 'etapa', 'expectativa', 'fase', 'fase', 'fase', 'instituto', 'integrant', 'saudar', 'saudar', 'saudar']","[1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 3, 3, 3]","[]","[]",14,0,14,1
28,"['decisao', 'decisao', 'fez', 'lira', 'magistrado', 'ppal', 'pslrj', 'reuter', 'sociai', 'supremo', 'supremo']","[2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[]","[]",11,0,11,1
29,"['autoridad', 'disseminacao', 'domingo', 'hospitalizar', 'metropolitano', 'necessario', 'necessidad', 'possibilidad', 'reuter', 'reuter', 'saudar', 'saudar', 'toquio', 'toquio', 'toquio']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3]","['espalhar']","[1]",15,1,16,1
31,"['converso', 'determinacao', 'equipamento', 'espanha', 'limitacao', 'orientacao', 'periodo', 'planar', 'prever', 'regrar', 'rotina', 'rotina', 'treinar', 'treino', 'treino']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2]","[]","[]",15,0,15,1
32,"['aurelio', 'aurelio', 'colegiado', 'constituicao', 'decisao', 'mello', 'ministrar', 'ministrar', 'ministrar', 'patamar', 'plenario', 'pslrj', 'silveiro', 'supremo', 'supremo']","[2, 2, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 2, 2]","[]","[]",15,0,15,1
34,"['celebrar', 'internar', 'internar', 'saudar']","[1, 2, 2, 1]","['imagem']","[1]",4,1,5,1
36,"['alerj', 'alerj', 'ausencia', 'comissao', 'comissao', 'comissao', 'comissao', 'comissao', 'comissao', 'decisao', 'decisao', 'decisao', 'elaborar', 'integrant', 'investigacao', 'justicar', 'legislativo', 'legislativo', 'notificar', 'plenario', 'plenario', 'prazo', 'prazo', 'prazo', 'prazo', 'sessao', 'sessao', 'sessao', 'suspenso', 'wilson', 'witzel', 'witzel', 'witzel', 'witzel']","[2, 2, 1, 6, 6, 6, 6, 6, 6, 3, 3, 3, 1, 1, 1, 1, 2, 2, 1, 2, 2, 4, 4, 4, 4, 3, 3, 3, 1, 1, 4, 4, 4, 4]","[]","[]",34,0,34,1
37,"['discussao', 'epidemiar', 'importancia', 'infectar', 'treinamento', 'treinar']","[1, 1, 1, 1, 1, 1]","[]","[]",6,0,6,1
38,"['ansiedad', 'depressao', 'enfrentamento', 'intenso', 'necessidad', 'reconhecimento', 'risco', 'saudar', 'saudar']","[1, 1, 1, 1, 1, 1, 1, 2, 2]","[]","[]",9,0,9,1
46,"[]","[]","['capturar', 'circular', 'compartilhar', 'compartilhar', 'descricao', 'fotografia', 'fotografia', 'imagem', 'imagem', 'legendar', 'transposicao', 'transposicao']","[1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2]",0,12,12,1
47,"['agravar', 'comorbidad', 'complicacao', 'internar', 'internar', 'internar', 'saudar']","[1, 1, 1, 3, 3, 3, 1]","[]","[]",7,0,7,1
48,"['congresso', 'congresso', 'desvio', 'recurso']","[2, 2, 1, 1]","[]","[]",4,0,4,1
49,"['infectar', 'notificar', 'saudar']","[1, 1, 1]","[]","[]",3,0,3,1
50,"['amplo', 'fluminens', 'renata', 'renata', 'souza', 'subir', 'sugestao', 'tatto', 'tatto', 'tatto', 'tatto', 'tatto']","[1, 1, 2, 2, 1, 1, 1, 5, 5, 5, 5, 5]","['legendar']","[1]",12,1,13,1
51,"['absoluto', 'apurar', 'boletim', 'boletim', 'boletim', 'flavio', 'flavio', 'flavio', 'instaurar', 'investigacao', 'pratico', 'preliminar', 'republicanosrj', 'requerimento']","[1, 1, 3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1]","['mansao', 'verdadeiro']","[1, 1]",14,2,16,1
52,"['infectar', 'michael', 'situacao']","[1, 1, 1]","[]","[]",3,0,3,1
53,"['augusto', 'capitar', 'companhia', 'domingo', 'forcatarefa', 'machadar', 'prorrogacao', 'prorrogar', 'republico', 'trafego']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[]","[]",10,0,10,1
54,"['aglomeracao', 'caxia', 'duqu', 'entregu', 'insuficient']","[1, 1, 1, 1, 1]","['protestar']","[1]",5,1,6,1
57,"['instituto', 'posturar']","[1, 1]","[]","[]",2,0,2,1
61,"['acompanhamento', 'cooperacao', 'descumprimento', 'distrito', 'distrito', 'funcionamento', 'justicar', 'orientacao', 'pagamento', 'prazo', 'saudar', 'saudar']","[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2]","[]","[]",12,0,12,1
68,"['domingo', 'facilitar']","[1, 1]","[]","[]",2,0,2,1
69,"['adulto', 'almeida', 'comprometido', 'desenvolvimento', 'espirito', 'espirito', 'humanitario', 'periodo', 'plano', 'psicologo', 'psicologo', 'psicologo', 'recebido']","[1, 1, 1, 1, 2, 2, 1, 1, 1, 3, 3, 3, 1]","[]","[]",13,0,13,1
70,"['anteriorment', 'anuncio', 'companhia', 'companhia', 'companhia', 'decisao', 'decorrencia', 'disseminacao', 'esforco', 'oferecido', 'possibilidad', 'reforcar', 'saudar', 'saudar', 'suspensao', 'temporario', 'viagem', 'viagem']","[1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2]","[]","[]",18,0,18,1
71,"['biliao', 'biliao', 'celebrar', 'epidemiar', 'impactar', 'instituto', 'reforcar', 'saudar', 'saudar']","[2, 2, 1, 1, 1, 1, 1, 2, 2]","['intitular']","[1]",9,1,10,1
72,"['alternativo', 'facilitar', 'jornada', 'organizador', 'regrar', 'voo', 'voo']","[1, 1, 1, 1, 1, 2, 2]","['filmar']","[1]",7,1,8,1
73,"['apurar', 'fluminens', 'inquerito', 'inquerito', 'justicar', 'mprj', 'nomeacao']","[1, 1, 2, 2, 1, 1, 1]","[]","[]",7,0,7,1
75,"['contemplar', 'respostar']","[1, 1]","[]","[]",2,0,2,1
76,"['epidemiar', 'saudar', 'situacao', 'xinhua']","[1, 1, 1, 1]","[]","[]",4,0,4,1
79,"['autorizacao', 'colombio', 'desembarcar', 'diagnosticar', 'passageiro', 'passageiro', 'passageiro', 'passageiro', 'passageiro', 'republico', 'tripulacao', 'tripulacao', 'viagem']","[1, 1, 1, 1, 5, 5, 5, 5, 5, 1, 2, 2, 1]","[]","[]",13,0,13,1
80,"['interpretar', 'sabado']","[1, 1]","['filmar']","[1]",2,1,3,1
83,"['afetado', 'ambientar', 'biliao', 'comprometido', 'cooperacao', 'dedicar', 'desempenhar', 'desenvolvimento', 'diminuicao', 'diretoria', 'enfatizar', 'expansao', 'funcao', 'implementacao', 'inclusao', 'indicador', 'mudanca', 'mudanca', 'necessario', 'opcao', 'periodo', 'pratico', 'preparacao', 'processo', 'taxar', 'treinamento']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]","['ganhar', 'parir']","[1, 1]",26,2,28,1
84,"['comissao', 'crise', 'crise', 'crise', 'europeu', 'europeu', 'europeu', 'europeu', 'respostar', 'taxar']","[1, 3, 3, 3, 4, 4, 4, 4, 1, 1]","[]","[]",10,0,10,1
89,"['autoridad', 'epidemiar', 'inglaterra', 'ministrar', 'periodo', 'restritivo', 'saudar', 'saudar', 'superar']","[1, 1, 1, 1, 1, 1, 2, 2, 1]","[]","[]",9,0,9,1
90,"['aprovacao', 'constituicao', 'decisao', 'desenvolvimento', 'dificultar', 'divergencia', 'emendar', 'emendar', 'fundeb', 'fundeb', 'mudanca', 'plenario', 'proposto', 'proposto', 'prorrogar', 'recurso']","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1]","[]","[]",16,0,16,1
92,"['aglomeracao', 'agravar', 'decisao', 'epidemiar', 'fase', 'fase', 'fase', 'planar', 'planar', 'prever', 'previsao', 'privar', 'reabertura', 'reabertura', 'suspenso']","[1, 1, 1, 1, 3, 3, 3, 2, 2, 1, 1, 1, 2, 2, 1]","['crech']","[1]",15,1,16,1
98,"['anuncio', 'anvisa', 'autorizacao', 'biliao', 'client', 'desenvolvimento', 'enfatizar', 'fase', 'fundacao', 'instituto', 'ministrar', 'ministrar', 'mudanca', 'oswaldo', 'palacio', 'planalto', 'provisorio', 'relativo', 'saudar', 'vigilancia']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[]","[]",20,0,20,1
100,"['anuncio', 'especifico', 'lancamento']","[1, 1, 1]","[]","[]",3,0,3,1
105,"['adicionar', 'administrativo', 'bandeira', 'conselho', 'funcao', 'funcao', 'funcao', 'funcionamento', 'lancamento', 'pagamento', 'pagamento', 'possibilidad', 'risco', 'suspensa']","[1, 1, 1, 1, 3, 3, 3, 1, 1, 2, 2, 1, 1, 1]","[]","[]",14,0,14,1
108,"['confirmado', 'emergenciai', 'facilitar', 'medida', 'milho', 'monitoramento', 'recurso']","[1, 1, 1, 1, 1, 1, 1]","[]","[]",7,0,7,1
110,"['fluxo', 'fluxo', 'orientacao', 'pastar', 'pastar', 'respostar', 'saudar', 'saudar', 'saudar', 'suspeito', 'treinar']","[2, 2, 1, 2, 2, 1, 3, 3, 3, 1, 1]","[]","[]",11,0,11,1
117,"['assintomatico', 'gabinet', 'gabinet', 'pastar', 'positivar', 'positivar', 'saudar', 'saudar', 'saudar']","[1, 2, 2, 1, 2, 2, 3, 3, 3]","[]","[]",9,0,9,1
118,"[]","[]","[]","[]",0,0,0,1
120,"['crise', 'curso', 'flexibilizacao', 'mudanca', 'pagamento', 'possibilidad', 'prever', 'provisorio', 'regrar', 'revogar', 'suspensao', 'suspensao']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[]","[]",12,0,12,1
121,"['fase', 'fase', 'fundacao', 'imunizacao', 'instituto', 'liderar', 'paralelo', 'respostar']","[2, 2, 1, 1, 1, 1, 1, 1]","[]","[]",8,0,8,1
124,"['balancar', 'comparacao', 'consolidar', 'consorcio', 'decorrent', 'estabilidad', 'levantamento', 'saudar', 'situacao', 'tendencia', 'totalizar', 'variacao']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[]","[]",12,0,12,1
126,"['heleno', 'inconsistencia', 'justicar', 'oficio', 'periodo', 'prever', 'sabado', 'substituicao', 'substituicao']","[1, 1, 1, 1, 1, 1, 1, 2, 2]","['expulsar']","[1]",9,1,10,1
127,"['diagnosticar', 'espanha', 'inicialment', 'intensivo', 'internar', 'internar', 'respiratorio', 'saudar', 'situacao']","[1, 1, 1, 1, 2, 2, 1, 1, 1]","['cartaz', 'menino']","[1, 1]",9,2,11,1
128,"['consolidar', 'consorcio', 'levantamento', 'sabado', 'saudar', 'situacao', 'variacao', 'variacao']","[1, 1, 1, 1, 1, 1, 2, 2]","[]","[]",8,0,8,1
130,"['alcolumbr', 'alcolumbr', 'alcolumbr', 'calendario', 'celso', 'discussao', 'indicado', 'informaco', 'kassio', 'kassio', 'mello', 'previsao', 'reuniao', 'reuniao', 'supremo', 'tambem', 'tambem', 'tramitacao']","[3, 3, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1]","[]","[]",18,0,18,1
132,"['andrew', 'crise', 'propagacao', 'quarentenar']","[1, 1, 1, 1]","[]","[]",4,0,4,1
136,"['complicacao', 'saudar', 'saudar', 'vigilancia']","[1, 2, 2, 1]","[]","[]",4,0,4,1
137,"['ambientar', 'integro', 'ministrar', 'ministrar', 'ricardo', 'sall', 'sall', 'servidor']","[1, 1, 2, 2, 1, 2, 2, 1]","[]","[]",8,0,8,1
138,"['ausencia', 'domingo', 'justicar', 'justificativo', 'normalment', 'pratico', 'situacao', 'suspenso']","[1, 1, 1, 1, 1, 1, 1, 1]","['preencher']","[1]",8,1,9,1
140,"['afastamento', 'alerj', 'apreensao', 'apreensao', 'confirmado', 'confirmado', 'contrato', 'desenvolvimento', 'exprefeito', 'goncalv', 'heleno', 'inicialment', 'irregularidad', 'justicar', 'justicar', 'legislativo', 'ministrar', 'palacio', 'preventivo', 'redondo', 'saudar', 'temporario', 'wilson', 'witzel', 'witzel']","[1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","[]","[]",25,0,25,1
141,"['adulto', 'aplicacao', 'decisao', 'desafiar', 'desenvolvimento', 'implementacao', 'infectar', 'saudar', 'situacao', 'situacao']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2]","['humanar']","[1]",10,1,11,1
142,"['antonio', 'atuacao', 'comportamento', 'congresso', 'economia', 'economia', 'economia', 'gued', 'gued', 'gued', 'ministrar', 'ministrar', 'ministrar', 'plano', 'proposto', 'proposto', 'proposto', 'rejeitar', 'unanimidad']","[1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 1, 1]","['desmentir']","[1]",19,1,20,1
143,"['alunar', 'balancar', 'balancar', 'balancar', 'contabilizar', 'internar', 'positivar', 'sabado', 'sabado', 'saudar', 'saudar', 'saudar', 'suspeito']","[1, 3, 3, 3, 1, 1, 1, 2, 2, 3, 3, 3, 1]","[]","[]",13,0,13,1
144,"['congresso', 'diretoria', 'imunizacao', 'imunizacao', 'iniciativo', 'logistico', 'planar', 'prever', 'prever', 'prioritario', 'privar', 'privar', 'privar', 'saudar', 'saudar']","[1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 3, 3, 3, 2, 2]","[]","[]",15,0,15,1
145,"['distrito', 'dosar', 'esquema', 'fase', 'igualitario', 'instituto', 'necessario', 'operacionalizacao', 'pastar', 'pastar', 'periodo', 'planar', 'publicoalvo', 'remessar', 'saudar', 'saudar', 'vigilancia']","[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1]","[]","[]",17,0,17,1
148,"['converso', 'converso', 'demandar', 'desenvolvimento', 'estrategia', 'fabricacao', 'possibilidad', 'saudar', 'situacao']","[2, 2, 1, 1, 1, 1, 1, 1, 1]","[]","[]",9,0,9,1
149,"['almeida', 'ricardo', 'ricardo']","[1, 2, 2]","[]","[]",3,0,3,1
152,"['articulacao', 'azevedo', 'biliao', 'congresso', 'decisao', 'discussao', 'discussao', 'emendar', 'especifico', 'oliveira', 'palacio', 'planalto', 'planalto', 'prever', 'proposto', 'sancao', 'tributario', 'tributario', 'vetar', 'vetar']","[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2]","['catolico', 'perdao']","[1, 1]",20,2,22,1
154,"['autorizacao', 'carat', 'correspondent', 'destinar', 'especializar', 'pulmonar', 'pulmonar', 'reforcar', 'saudar', 'saudar', 'suportar', 'suportar', 'suportar', 'suspeito', 'temporario', 'ventilatorio', 'ventilatorio']","[1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 3, 3, 3, 1, 1, 2, 2]","[]","[]",17,0,17,1
155,"['aprovacao', 'congresso', 'constituicao', 'crise', 'medida', 'pedido', 'previsto', 'proposta']","[1, 1, 1, 1, 1, 1, 1, 1]","[]","[]",8,0,8,1
156,"['avancar', 'epicentro', 'fronteiro', 'hubei', 'hubei', 'internar', 'provincia', 'provincia', 'reabrir', 'xinhua']","[1, 1, 1, 2, 2, 1, 2, 2, 1, 1]","[]","[]",10,0,10,1
158,"['argumentar', 'consequencia', 'emendar', 'henriqu', 'independentement', 'republico', 'tucano']","[1, 1, 1, 1, 1, 1, 1]","['estranhar']","[1]",7,1,8,1
161,"['atuacao', 'atuacao', 'carla', 'decisao', 'decisao', 'distrito', 'favorito', 'indicado', 'kassio', 'nomeacao', 'orientacao', 'pedido', 'processo', 'pslsp', 'quatro', 'supremo', 'suspensa', 'zambelli']","[2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[]","[]",18,0,18,1
164,"['academia', 'academia', 'ansiedad', 'antonio', 'crise', 'depressao', 'depressao', 'depressao', 'desafio', 'equilibrio', 'geografia', 'ibg', 'impacto', 'instituto', 'milho', 'periodo', 'periodo', 'plano', 'quadro', 'reuniao', 'risco', 'risco', 'situacao', 'tambem', 'tambem', 'ufrj']","[2, 2, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1]","[]","[]",26,0,26,1
167,"['anteontem', 'anteriorment', 'circulacao', 'comunitario', 'concedido', 'epidemiologico', 'investigacao', 'metropolitano', 'notificar', 'quedo', 'recordar', 'recordar', 'saudar', 'subir']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1]","[]","[]",14,0,14,1
169,"['avancar', 'colunista', 'extraordinario']","[1, 1, 1]","[]","[]",3,0,3,1
170,"['fase', 'goncalv', 'planar', 'presenciar', 'saudar']","[1, 1, 1, 1, 1]","[]","[]",5,0,5,1
