word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
acudir,7,1,14.285714285714285,6,85.71428571428571
adegar,6,0,0,6,100
afastems,6,0,0,6,100
agrotoxico,7,1,14.285714285714285,6,85.71428571428571
ajax,7,1,14.285714285714285,6,85.71428571428571
amigdala,7,1,14.285714285714285,6,85.71428571428571
analfabeto,7,1,14.285714285714285,6,85.71428571428571
antidoto,7,1,14.285714285714285,6,85.71428571428571
apetitar,8,2,25,6,75
arraia,7,1,14.285714285714285,6,85.71428571428571
artesiano,6,0,0,6,100
assemelhar,8,2,25,6,75
atendent,6,0,0,6,100
auditar,6,0,0,6,100
avalanch,7,1,14.285714285714285,6,85.71428571428571
betar,7,1,14.285714285714285,6,85.71428571428571
bethania,6,0,0,6,100
bianca,8,2,25,6,75
bradar,6,0,0,6,100
braskem,6,0,0,6,100
caloroso,6,0,0,6,100
carlinho,8,2,25,6,75
cavidad,6,0,0,6,100
chow,6,0,0,6,100
chupar,7,1,14.285714285714285,6,85.71428571428571
clarenc,8,2,25,6,75
combinous,6,0,0,6,100
concursado,7,1,14.285714285714285,6,85.71428571428571
conspirador,6,0,0,6,100
coral,6,0,0,6,100
coronaviruso,8,2,25,6,75
crosp,6,0,0,6,100
dean,6,0,0,6,100
demarcar,7,1,14.285714285714285,6,85.71428571428571
denatran,6,0,0,6,100
denegrir,6,0,0,6,100
desabar,7,1,14.285714285714285,6,85.71428571428571
detro,8,1,12.5,6,75
detroit,7,1,14.285714285714285,6,85.71428571428571
diabetico,7,1,14.285714285714285,6,85.71428571428571
duzento,7,1,14.285714285714285,6,85.71428571428571
elefant,7,1,14.285714285714285,6,85.71428571428571
escravizar,6,0,0,6,100
esparramar,6,0,0,6,100
estatua,6,0,0,6,100
fakenew,6,0,0,6,100
faxinar,8,2,25,6,75
ferrero,7,1,14.285714285714285,6,85.71428571428571
filtragem,7,1,14.285714285714285,6,85.71428571428571
flordeliz,6,0,0,6,100
flutuar,7,1,14.285714285714285,6,85.71428571428571
fogao,8,2,25,6,75
fogueira,7,1,14.285714285714285,6,85.71428571428571
foundat,7,1,14.285714285714285,6,85.71428571428571
galpao,7,1,14.285714285714285,6,85.71428571428571
gazeta,6,0,0,6,100
gazola,6,0,0,6,100
gazzeta,6,0,0,6,100
glorioso,8,2,25,6,75
guzman,8,2,25,6,75
hackeado,7,1,14.285714285714285,6,85.71428571428571
happi,8,2,25,6,75
heranca,8,2,25,6,75
humildar,7,1,14.285714285714285,6,85.71428571428571
imprimir,8,2,25,6,75
inflamar,7,1,14.285714285714285,6,85.71428571428571
informant,6,0,0,6,100
inventario,8,2,25,6,75
inviolabilidad,8,2,25,6,75
iptu,6,0,0,6,100
jurar,7,1,14.285714285714285,6,85.71428571428571
karnal,6,0,0,6,100
kiwi,6,0,0,6,100
lacomb,6,0,0,6,100
lembranca,8,2,25,6,75
liberato,6,0,0,6,100
liesa,6,0,0,6,100
lipidio,7,1,14.285714285714285,6,85.71428571428571
luxuoso,7,1,14.285714285714285,6,85.71428571428571
malignar,6,0,0,6,100
maligno,8,2,25,6,75
marginar,6,0,0,6,100
martinelli,7,1,14.285714285714285,6,85.71428571428571
matter,6,0,0,6,100
melinda,8,2,25,6,75
mengao,6,0,0,6,100
mesada,6,0,0,6,100
miseravel,8,2,25,6,75
misteriosament,6,0,0,6,100
nasdaq,6,0,0,6,100
nike,6,0,0,6,100
notebook,7,1,14.285714285714285,6,85.71428571428571
okparaben,6,0,0,6,100
opressao,6,0,0,6,100
ovacionar,6,0,0,6,100
palavraschav,6,0,0,6,100
paracetamol,6,0,0,6,100
parkinson,8,2,25,6,75
paulada,8,2,25,6,75
pepsi,6,0,0,6,100
phd,8,2,25,6,75
pintura,7,1,14.285714285714285,6,85.71428571428571
pitanga,6,0,0,6,100
postinho,6,0,0,6,100
pscrj,8,2,25,6,75
psolista,8,1,12.5,6,75
pureza,7,0,0,6,85.71428571428571
qassem,7,1,14.285714285714285,6,85.71428571428571
quinhento,6,0,0,6,100
quinino,6,0,0,6,100
rachadura,8,2,25,6,75
reenviar,6,0,0,6,100
repentinament,6,0,0,6,100
republicar,8,2,25,6,75
