word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
abencoar,40,7,17.5,33,82.5
abortar,56,15,26.785714285714285,41,73.21428571428571
abusar,71,19,26.76056338028169,52,73.23943661971832
acidentar,84,14,16.666666666666664,70,83.33333333333334
adelio,79,1,1.2658227848101267,70,88.60759493670885
adorar,25,6,24,19,76
agredir,60,16,26.666666666666668,44,73.33333333333333
amigar,147,44,29.931972789115648,103,70.06802721088435
ampla,130,23,17.692307692307693,100,76.92307692307693
amplament,123,23,18.69918699186992,100,81.30081300813008
anoso,106,1,0.9433962264150944,89,83.96226415
argan,97,12,12.371134020618557,83,85.56701030927834
arquivar,102,26,25.49019607843137,76,74.50980392156863
arvor,45,9,20,36,80
assaltar,36,3,8.333333333333332,33,91.66666666666666
assassinar,79,7,8.860759493670885,72,91.13924050632912
assinalar,31,5,16.129032258064516,26,83.87096774193549
atirar,61,13,21.311475409836063,48,78.68852459016394
atribui,292,2,0.684931507,207,70.89041096
atribuir,256,49,19.140625,207,80.859375
auditoria,26,7,26.923076923076923,19,73.07692307692307
autopsia,25,3,12,22,88
banan,25,1,4,21,84
bandeiro,151,34,22.516556291390728,117,77.48344370860927
barragem,55,9,16.363636363636363,46,83.63636363636363
basto,97,1,1.0309278350515463,73,75.25773195876289
biblia,51,6,11.76470588235294,43,84.31372549019608
bispar,59,15,25.423728813559322,44,74.57627118644068
boatar,94,9,9.574468085106384,85,90.42553191489363
boicot,29,6,20.689655172413794,22,75.86206896551724
boicotar,28,6,21.428571428571427,22,78.57142857142857
bonner,31,5,16.129032258064516,26,83.87096774193549
botao,32,4,12.5,28,87.5
cadastramento,29,3,10.344827586206897,25,86.20689655172413
caixao,85,15,17.647058823529413,70,82.35294117647058
camisa,68,17,25,51,75
camiseta,64,6,9.375,58,90.625
canadens,25,6,24,19,76
captar,26,5,19.230769230769234,21,80.76923076923077
captura,91,10,10.989010989010989,80,87.91208791208791
capturar,90,10,11.11111111111111,80,88.88888888888889
carbono,27,7,25.925925925925924,20,74.07407407407408
carrefour,50,9,18,41,82
cartaz,55,14,25.454545454545453,41,74.54545454545455
casamentar,65,12,18.461538461538463,53,81.53846153846153
catedr,29,7,24.137931034482758,22,75.86206896551724
catolico,41,11,26.82926829268293,30,73.17073170731707
cbn,90,1,1.1111111111111112,75,83.33333333333334
cedula,71,6,8.450704225352112,65,91.54929577464789
checagem,62,13,20.967741935483872,49,79.03225806451613
checar,266,14,5.263157894736842,252,94.73684210526315
chora,93,1,1.0752688172043012,69,74.19354838709677
chorar,84,15,17.857142857142858,69,82.14285714285714
circula,1949,2,0.1026167265264238,1681,86.24935864545921
circular,1773,92,5.1889452904681335,1681,94.81105470953187
clicar,179,9,5.027932960893855,170,94.97206703910615
cnh,37,5,13.513513513513514,32,86.48648648648648
cobaia,29,4,13.793103448275861,25,86.20689655172413
cocain,48,5,10.416666666666668,42,87.5
cocaina,47,5,10.638297872340425,42,89.36170212765957
compartilhar,1430,118,8.251748251748252,1312,91.74825174825175
copiar,41,1,2.4390243902439024,37,90.24390244
crech,30,9,30,21,70
crer,34,9,26.47058823529412,25,73.52941176470588
cristao,78,1,1.282051282051282,67,85.8974359
curioso,29,3,10.344827586206897,26,89.65517241379311
cuspir,27,4,14.814814814814813,23,85.18518518518519
deitar,26,5,19.230769230769234,21,80.76923076923077
descricao,34,8,23.52941176470588,26,76.47058823529412
desfilar,30,5,16.666666666666664,25,83.33333333333334
desgracar,28,5,17.857142857142858,23,82.14285714285714
desligar,36,9,25,27,75
desmaiar,33,1,3.0303030303030303,32,96.96969696969697
desment,96,1,1.0416666666666665,80,83.33333333333334
desmentir,91,11,12.087912087912088,80,87.91208791208791
despejar,25,7,28.000000000000004,18,72
dioxido,26,3,11.538461538461538,23,88.46153846153845
disfarcar,27,7,25.925925925925924,20,74.07407407407408
