word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
abafando,2,2,100,0,0
abaixoassinado,1,1,100,0,0
abalada,1,1,100,0,0
abalo,1,1,100,0,0
abancay,1,1,100,0,0
abandonada,1,1,100,0,0
abandonara,1,1,100,0,0
abarcar,2,2,100,0,0
abatem,1,1,100,0,0
abatido,10,7,70,3,30
abatimento,2,2,100,0,0
abba,48,40,83.33333333333334,4,8.333333333333332
abbott,4,3,75,1,25
abcomm,2,2,100,0,0
abcvac,2,2,100,0,0
abdconst,1,1,100,0,0
abdomen,1,1,100,0,0
abdomin,10,8,80,2,20
abead,2,2,100,0,0
abelardo,4,3,75,1,25
abemaciclib,1,1,100,0,0
abespinhar,1,1,100,0,0
abhi,1,1,100,0,0
abilio,3,3,100,0,0
abimaq,3,3,100,0,0
abiplast,1,1,100,0,0
abjd,1,1,100,0,0
abjeta,1,1,100,0,0
abloh,1,1,100,0,0
abm,2,2,100,0,0
abnegar,1,1,100,0,0
abner,1,1,100,0,0
abobora,5,4,80,1,20
abordado,1,1,100,0,0
abordagem,30,23,76.66666666666667,7,23.333333333333332
aborrecimento,1,1,100,0,0
about,3,3,100,0,0
abpa,1,1,100,0,0
abracala,1,1,100,0,0
abracalo,1,1,100,0,0
abracandos,1,1,100,0,0
abracao,1,1,100,0,0
abrafarma,1,1,100,0,0
abraidi,2,2,100,0,0
abrainc,1,1,100,0,0
abraji,2,2,100,0,0
abramet,2,2,100,0,0
abrandamento,1,1,100,0,0
abrangent,10,8,80,2,20
abrangido,1,1,100,0,0
abrasco,5,4,80,1,20
abraselsp,1,1,100,0,0
abrath,1,1,100,0,0
abrava,4,3,75,0,0
abravanel,3,3,100,0,0
abrelp,1,1,100,0,0
abrhaao,1,1,100,0,0
abrigo,3,3,100,0,0
abriram,1,1,100,0,0
abriria,1,1,100,0,0
abrissem,1,1,100,0,0
abriu46nova,1,1,100,0,0
abrucio,2,2,100,0,0
abruptament,2,2,100,0,0
abrupto,7,7,100,0,0
abruzzo,2,2,100,0,0
abscesso,1,1,100,0,0
absoluto,68,52,76.47058823529412,16,23.52941176470588
absolvicao,1,1,100,0,0
absolvido,6,5,83.33333333333334,1,16.666666666666664
absorvivel,1,1,100,0,0
abstencao,11,8,72.72727272727273,3,27.27272727272727
abster,4,4,100,0,0
abstrata,2,2,100,0,0
abt,3,3,100,0,0
abundant,2,2,100,0,0
abusivo,14,10,71.42857142857143,4,28.57142857142857
acabando,1,1,100,0,0
acabaram,1,1,100,0,0
acabei,1,1,100,0,0
acachapant,1,1,100,0,0
academia,75,60,80,8,10.666666666666668
academiar,68,60,88.23529411764706,8,11.76470588235294
academico,27,19,70.37037037037037,8,29.629629629629626
acadia,1,1,100,0,0
acalentar,1,1,100,0,0
acalorado,1,1,100,0,0
acalorar,5,4,80,1,20
acamar,5,5,100,0,0
