word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
geraldo,25,18,72,7,28.000000000000004
recarregar,25,18,72,5,20
segredar,25,18,72,7,28.000000000000004
subordinar,25,18,72,6,24
tripulacao,25,18,72,7,28.000000000000004
alckmin,25,19,76,6,24
eventualment,25,19,76,6,24
marilia,25,20,80,5,20
mergulhar,25,20,80,5,20
monetario,25,20,80,5,20
projecao,25,20,80,5,20
andrea,25,21,84,4,16
ccj,25,21,84,4,16
conservacao,25,21,84,4,16
efetividad,25,21,84,4,16
panamericana,25,21,84,4,16
vencimento,25,21,84,2,8
exemplo,25,24,96,1,4
sustentabilidad,25,24,96,1,4
cnmp,25,25,100,0,0
treino,25,25,100,0,0
alvaro,26,19,73.07692307692307,7,26.923076923076923
consultoria,26,19,73.07692307692307,7,26.923076923076923
higienizacao,26,19,73.07692307692307,7,26.923076923076923
redondo,26,19,73.07692307692307,7,26.923076923076923
rejeicao,26,19,73.07692307692307,7,26.923076923076923
airlin,26,20,76.92307692307693,6,23.076923076923077
dinamarca,26,20,76.92307692307693,6,23.076923076923077
relaxar,26,20,76.92307692307693,6,23.076923076923077
trafego,26,20,76.92307692307693,6,23.076923076923077
cometido,26,21,80.76923076923077,5,19.230769230769234
examinar,26,21,80.76923076923077,5,19.230769230769234
geografia,26,21,80.76923076923077,5,19.230769230769234
preconceito,26,21,80.76923076923077,5,19.230769230769234
genoma,26,22,84.61538461538461,4,15.384615384615385
diplomata,26,23,88.46153846153845,3,11.538461538461538
reajustar,26,23,88.46153846153845,3,11.538461538461538
suspeicao,26,23,88.46153846153845,3,11.538461538461538
colleg,26,24,92.30769231,2,7.6923076923076925
precandidato,26,24,92.30769231,2,7.6923076923076925
tatto,26,24,92.30769231,2,7.6923076923076925
pfizerbiontech,26,25,96.15384615384616,1,3.8461538461538463
academico,27,19,70.37037037037037,8,29.629629629629626
alergia,27,19,70.37037037037037,8,29.629629629629626
belgica,27,19,70.37037037037037,8,29.629629629629626
defendido,27,19,70.37037037037037,8,29.629629629629626
dondo,27,19,70.37037037037037,7,25.925925925925924
humanitario,27,19,70.37037037037037,8,29.629629629629626
infancia,27,19,70.37037037037037,8,29.629629629629626
precisao,27,19,70.37037037037037,1,3.7037037037037033
sorocaba,27,19,70.37037037037037,7,25.925925925925924
merkel,27,20,74.07407407407408,7,25.925925925925924
particularment,27,20,74.07407407407408,7,25.925925925925924
