word,words_total_appear_in_both_group,words_total_appear_in_group_real,percet_strong_word_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_fake
abba,48,40,83.33333333333334,4,8.333333333333332
abordagem,30,23,76.66666666666667,7,23.333333333333332
absoluto,68,52,76.47058823529412,16,23.52941176470588
academia,75,60,80,8,10.666666666666668
academiar,68,60,88.23529411764706,8,11.76470588235294
academico,27,19,70.37037037037037,8,29.629629629629626
acompanham,89,76,85.39325842696628,12,13.48314606741573
acompanhamento,88,76,86.36363636363636,12,13.636363636363635
acordo,137,125,91.24087591240875,1,0.7299270072992701
acumular,88,62,70.45454545454545,26,29.545454545454547
adesao,31,26,83.87096774193549,5,16.129032258064516
adhanom,50,39,78,11,22
adiamento,51,49,96.07843137254902,2,3.9215686274509802
adicionar,68,51,75,17,25
administrativo,129,101,78.29457364341084,1,0.7751937984496124
adotada,137,108,78.83211678832117,29,21.16788321167883
adulto,120,97,80.83333333333333,23,19.166666666666668
adversario,70,57,81.42857142857143,13,18.571428571428573
advocaciager,36,34,94.44444444444444,2,5.555555555555555
afastam,75,56,74.66666666666667,17,22.666666666666664
afastament,74,56,75.67567567567568,17,22.972972972972975
afastamento,73,56,76.71232876712328,17,23.28767123287671
afetado,126,107,84.92063492063492,19,15.079365079365079
afiar,85,63,74.11764705882354,20,23.52941176470588
afp,223,160,71.74887892376681,63,28.251121076233183
aglomeracao,205,156,76.09756097560975,49,23.902439024390244
agravamento,57,49,85.96491228070175,8,14.035087719298245
agravar,58,42,72.41379310344827,16,27.586206896551722
airlin,26,20,76.92307692307693,6,23.076923076923077
alami,64,52,81.25,11,17.1875
alckmin,25,19,76,6,24
alcolumbr,107,91,85.04672897196261,16,14.953271028037381
alergia,27,19,70.37037037037037,8,29.629629629629626
alerj,50,42,84,8,16
algun,30,30,100,0,0
aliquota,27,23,85.18518518518519,4,14.814814814814813
aliviar,36,31,86.11111111111111,5,13.88888888888889
almeida,43,31,72.09302325581395,12,27.906976744186046
alteracao,104,75,72.11538461538461,29,27.884615384615387
altern,87,63,72.41379310344827,8,9.195402298850574
alternativo,71,63,88.73239436619718,8,11.267605633802818
alunar,28,20,71.42857142857143,8,28.57142857142857
alvaro,26,19,73.07692307692307,7,26.923076923076923
alvorar,61,55,90.16393443,6,9.836065573770492
ambientar,296,218,73.64864864864865,78,26.351351351351347
ambito,82,66,80.48780487804879,16,19.51219512195122
ampliacao,51,43,84.31372549019608,8,15.686274509803921
amplo,91,74,81.31868131868131,17,18.681318681318682
andrea,25,21,84,4,16
andrew,35,29,82.85714285714286,6,17.142857142857142
anosr,66,61,92.42424242424242,2,3.0303030303030303
ansiedad,27,25,92.59259259,2,7.4074074074074066
antecipar,98,80,81.63265306122449,17,17.346938775510203
anteontem,47,46,97.87234042553192,1,2.127659574468085
anteriorment,58,48,82.75862068965517,10,17.24137931034483
anticorpo,135,100,74.07407407407408,35,25.925925925925924
antonio,143,101,70.62937062937063,1,0.6993006993006993
anuncio,179,136,75.97765363128491,43,24.022346368715084
anvisa,380,299,78.68421053,1,0.2631578947368421
apitar,70,58,82.85714285714286,2,2.857142857142857
aplicacao,158,123,77.84810126582279,35,22.151898734177212
apoio,33,30,90.90909091,1,3.0303030303030303
apostar,32,23,71.875,9,28.125
apreensao,78,59,75.64102564102564,19,24.358974358974358
aprovacao,222,162,72.97297297297297,1,0.45045045045045046
apurar,209,154,73.68421052631578,55,26.31578947368421
araujo,151,116,76.82119205298014,35,23.178807947019866
argumentar,157,131,83.43949044585987,26,16.560509554140125
armazenamento,38,31,81.57894736842105,7,18.421052631578945
arrecadacao,52,44,84.61538461538461,8,15.384615384615385
arrecadar,49,35,71.42857142857143,14,28.57142857142857
arthur,120,106,88.33333333333333,1,0.8333333333333334
articulacao,64,50,78.125,1,1.5625
aspecto,40,30,75,10,25
