word,words_total_appear_in_group,words_total_in_group_without_stop_words,words_total_in_group_with_stop_words
abacaxi,12,324979,395083
abacha,1,324979,395083
abadar,1,324979,395083
abadiania,1,324979,395083
abadiar,1,324979,395083
abafar,6,324979,395083
abaixar,307,324979,395083
abaixo1,2,324979,395083
abaixo2,1,324979,395083
abaixodo,1,324979,395083
abaixonovament,1,324979,395083
abaixoo,1,324979,395083
abajularem,3,324979,395083
abajur,2,324979,395083
abalar,5,324979,395083
abandon,1,324979,395083
abandonar,45,324979,395083
abar,3,324979,395083
abarrotar,2,324979,395083
abastacimento,1,324979,395083
abastec,23,324979,395083
abastecergasolina,1,324979,395083
abastecimento,12,324979,395083
abat,17,324979,395083
abatedouro,1,324979,395083
abatido,3,324979,395083
abba,4,324979,395083
abbott,1,324979,395083
abc,8,324979,395083
abco,1,324979,395083
abdalla,2,324979,395083
abdelmassih,5,324979,395083
abdomin,2,324979,395083
abduzir,1,324979,395083
abeba,1,324979,395083
abeco,1,324979,395083
abel,1,324979,395083
abelardo,1,324979,395083
abelhar,5,324979,395083
abenco,2,324979,395083
abencoadasreceboinumero,1,324979,395083
abencoar,33,324979,395083
abencoeno,1,324979,395083
aberracao,5,324979,395083
aberrant,1,324979,395083
abert,1,324979,395083
abertaa,1,324979,395083
abertament,6,324979,395083
aberto,118,324979,395083
abertonao,1,324979,395083
abertoversao,1,324979,395083
abertura,54,324979,395083
abestado,2,324979,395083
abhh,1,324979,395083
abi,2,324979,395083
abiguinho,1,324979,395083
abin,17,324979,395083
abipla,1,324979,395083
abismar,5,324979,395083
abjeto,1,324979,395083
abobora,1,324979,395083
abocanhar,3,324979,395083
abolicao,5,324979,395083
abolicionista,1,324979,395083
abolir,5,324979,395083
abominacao,3,324979,395083
abominar,1,324979,395083
abominavel,2,324979,395083
abonar,18,324979,395083
abono,1,324979,395083
abordagem,7,324979,395083
abordar,28,324979,395083
aborrec,1,324979,395083
abort,1,324979,395083
abortamento,1,324979,395083
abortar,41,324979,395083
aborteiro,2,324979,395083
abortista,1,324979,395083
aborto,4,324979,395083
abr,1,324979,395083
abraao,2,324979,395083
abracar,53,324979,395083
abraco,5,324979,395083
abrade,2,324979,395083
abraham,15,324979,395083
abrahao,1,324979,395083
abran,1,324979,395083
abrandar,1,324979,395083
abrang,3,324979,395083
abrangencia,2,324979,395083
abrangent,2,324979,395083
abrasc,1,324979,395083
abrasco,1,324979,395083
abrasel,1,324979,395083
abreimpeachmentcau,1,324979,395083
abreu,11,324979,395083
abreviacao,9,324979,395083
abreviacoesfinalizar,1,324979,395083
abreviar,3,324979,395083
abrigar,19,324979,395083
abril,277,324979,395083
abril19,1,324979,395083
abril20,1,324979,395083
abril2020,1,324979,395083
abrilmaio,1,324979,395083
abrilo,3,324979,395083
abrir,179,324979,395083
absolutament,25,324979,395083
absoluto,16,324979,395083
absolv,6,324979,395083
absolvido,1,324979,395083
absorcao,2,324979,395083
absorv,6,324979,395083
absorvelo,1,324979,395083
absorvido,1,324979,395083
abstemia,1,324979,395083
abstencao,3,324979,395083
abstinencia,1,324979,395083
absurdament,4,324979,395083
absurdo,92,324979,395083
absurdospor,1,324979,395083
abu,3,324979,395083
abuna,3,324979,395083
abundancia,4,324979,395083
abusador,3,324979,395083
abusar,52,324979,395083
abusivo,4,324979,395083
abuso,7,324979,395083
abutr,1,324979,395083
ac,1,324979,395083
ac130,1,324979,395083
acab0u,1,324979,395083
acabadoo,1,324979,395083
acabala,1,324979,395083
acabamento,1,324979,395083
acabar,469,324979,395083
acabarisso,1,324979,395083
acabas,1,324979,395083
acaboua,1,324979,395083
acabouacab,1,324979,395083
academi,1,324979,395083
academiar,8,324979,395083
academica,5,324979,395083
academico,8,324979,395083
acafrao,2,324979,395083
acafraodaterra,1,324979,395083
acai,2,324979,395083
acalmar,3,324979,395083
acalorar,1,324979,395083
acampamento,8,324979,395083
acampar,1,324979,395083
acao,157,324979,395083
acapulco,1,324979,395083
acari,7,324979,395083
acarretar,3,324979,395083
acasalamento,1,324979,395083
acaso,17,324979,395083
acatar,11,324979,395083
acceso,1,324979,395083
access,1,324979,395083
aced,1,324979,395083
aceitacao,9,324979,395083
aceitalo,2,324979,395083
aceitar,124,324979,395083
aceitavel,3,324979,395083
aceito,24,324979,395083
aceleracao,2,324979,395083
acelerar,12,324979,395083
acenar,7,324979,395083
acend,5,324979,395083
acento,2,324979,395083
acentuacao,2,324979,395083
acentuar,1,324979,395083
acercar,3,324979,395083
acerola,4,324979,395083
acertador,1,324979,395083
acertar,19,324979,395083
acerto,2,324979,395083
acervar,11,324979,395083
acervo,3,324979,395083
aceso,1,324979,395083
acess,21,324979,395083
acessa,1,324979,395083
acessado,4,324979,395083
acessando,4,324979,395083
acessar,15,324979,395083
acessaram,1,324979,395083
acessarem,1,324979,395083
acessarmo,1,324979,395083
acessem,2,324979,395083
acessibilidad,2,324979,395083
acessivel,7,324979,395083
acesso,86,324979,395083
acessorio,1,324979,395083
acessospor,1,324979,395083
acetico,1,324979,395083
acetico4,1,324979,395083
acetilcisteina,2,324979,395083
achacar,1,324979,395083
achar,227,324979,395083
