word,words_total_appear_in_group,words_total_in_group_without_stop_words,words_total_in_group_with_stop_words
abafando,2,477949,602859
abafar,14,477949,602859
abaixar,181,477949,602859
abaixo,23,477949,602859
abaixoassinado,1,477949,602859
abal,1,477949,602859
abalada,1,477949,602859
abalar,9,477949,602859
abalo,1,477949,602859
abancay,1,477949,602859
abandon,1,477949,602859
abandonada,1,477949,602859
abandonar,38,477949,602859
abandonara,1,477949,602859
abar,12,477949,602859
abarcar,2,477949,602859
abarrotar,3,477949,602859
abastec,8,477949,602859
abastecido,4,477949,602859
abastecimento,29,477949,602859
abat,7,477949,602859
abatedouro,2,477949,602859
abatem,1,477949,602859
abatido,7,477949,602859
abatimento,2,477949,602859
abba,3,477949,602859
abbott,3,477949,602859
abc,18,477949,602859
abcomm,2,477949,602859
abcv,1,477949,602859
abcvac,2,477949,602859
abd,1,477949,602859
abdconst,1,477949,602859
abdel,9,477949,602859
abdelmassih,2,477949,602859
abdo,5,477949,602859
abdomen,1,477949,602859
abdomin,8,477949,602859
abead,2,477949,602859
abel,1,477949,602859
abelardo,3,477949,602859
abemaciclib,1,477949,602859
abencoar,7,477949,602859
aberr,1,477949,602859
aberracao,3,477949,602859
aberrant,1,477949,602859
aberta,17,477949,602859
abertament,7,477949,602859
aberto,171,477949,602859
abertura,121,477949,602859
abespinhar,1,477949,602859
abhi,1,477949,602859
abi,6,477949,602859
abilio,3,477949,602859
abim,2,477949,602859
abimaq,3,477949,602859
abin,25,477949,602859
abiplast,1,477949,602859
abismar,5,477949,602859
abjd,1,477949,602859
abjeta,1,477949,602859
abl,1,477949,602859
abloh,1,477949,602859
abm,2,477949,602859
abnegar,1,477949,602859
abner,1,477949,602859
abobora,4,477949,602859
abocanhar,2,477949,602859
abolicionista,1,477949,602859
abolir,1,477949,602859
abonar,3,477949,602859
abord,3,477949,602859
abordado,1,477949,602859
abordagem,23,477949,602859
abordar,39,477949,602859
aborrec,2,477949,602859
aborrecimento,1,477949,602859
abortar,15,477949,602859
aborto,1,477949,602859
abou,1,477949,602859
about,3,477949,602859
abpa,1,477949,602859
abr,14,477949,602859
abra,1,477949,602859
abracala,1,477949,602859
abracalo,1,477949,602859
abracandos,1,477949,602859
