word,words_total_appear_in_both_group,words_total_appear_in_group_real,words_total_appear_in_group_fake,percet_strong_word_in_group_real,percet_strong_word_in_group_fake
abacaxi,12,0,12,0,100
abacha,1,0,1,0,100
abad,384,1,76,0.26041666666666663,19.791666666666664
abadar,1,0,1,0,100
abadiania,1,0,1,0,100
abadiar,1,0,1,0,100
abafando,2,2,0,100,0
abafar,38,12,6,31.57894736842105,15.789473684210526
abaixar,488,181,307,37.09016393442623,62.909836065573764
abaixo,30,1,1,3.3333333333333335,3.3333333333333335
abaixo1,2,0,2,0,100
abaixo2,1,0,1,0,100
abaixoassinado,1,1,0,100,0
abaixodo,1,0,1,0,100
abaixonovament,1,0,1,0,100
abaixoo,1,0,1,0,100
abajularem,3,0,3,0,100
abajur,2,0,2,0,100
abal,1776,1,1,0.056306306,0.056306306
abalada,1,1,0,100,0
abalar,14,9,5,64.28571428571429,35.714285714285715
abalo,1,1,0,100,0
abancay,1,1,0,100,0
abandon,87,1,45,1.1494252873563218,51.724137931034484
abandonada,1,1,0,100,0
abandonar,84,1,45,1.1904761904761905,53.57142857142857
abandonara,1,1,0,100,0
abar,802,12,1,1.4962593516209477,0.12468827930174563
abarcar,2,2,0,100,0
abarrotar,5,3,2,60,40
abastacimento,1,0,1,0,100
abastec,113,1,1,0.8849557522123894,0.8849557522123894
abastecergasolina,1,0,1,0,100
abastecido,6,1,0,16.666666666666664,0
abastecimento,73,1,1,1.369863014,1.369863014
abat,113,1,3,0.8849557522123894,2.6548672566371683
abatedouro,3,2,1,66.66666666666666,33.33333333333333
abatem,1,1,0,100,0
abatido,10,7,3,70,30
abatimento,2,2,0,100,0
abba,48,40,4,83.33333333333334,8.333333333333332
abbott,4,3,1,75,25
abc,32,2,1,6.25,3.125
abco,3,2,1,66.66666666666666,33.33333333333333
abcomm,2,2,0,100,0
abcv,3,2,0,66.66666666666666,0
abcvac,2,2,0,100,0
abd,38,8,1,21.052631578947366,2.631578947368421
abdalla,2,0,2,0,100
abdconst,1,1,0,100,0
abdel,16,2,5,12.5,31.25
abdelmassih,7,2,5,28.57142857142857,71.42857142857143
abdo,16,8,2,50,12.5
abdomen,1,1,0,100,0
abdomin,10,8,2,80,20
abduzir,1,0,1,0,100
abead,2,2,0,100,0
abeba,1,0,1,0,100
abeco,1,0,1,0,100
